country	capital	area	population	continent	currency
benin_PN	porto_novo_PN	114763	11175692	africa_PN	(AdjCN (PositA west_african_A) (UseN cfa_franc_N))
bhutan_PN	thimphu_PN	38394	807610	asia_1_PN	(UseN ngultrum_N)
bolivia_1_PN	la_paz_PN	1098581	11051600	south_america_1_PN	(UseN boliviano_N)
bosnia_and_herzegovina_PN	sarajevo_PN	51197	3507017	europe_1_PN	(AdjCN (PositA convertible_1_A) (UseN mark_7_N))
botswana_PN	gaborone_PN	581737	2291661	africa_PN	(GenPN botswana_PN (UseN pula_N))
brazil_1_PN	brasilia_PN	8515767	210147125	south_america_1_PN	(AdjCN (PositA brazilian_A) (UseN real_2_N))
brunei_PN	bandar_seri_begawan_PN	5765	428697	asia_1_PN	(GenPN brunei_PN (UseN dollar_1_N))
bulgaria_PN	sofia_PN	110994	7000039	europe_1_PN	(AdjCN (PositA bulgarian_A) (UseN lev_N))
burkina_faso_PN	ouagadougou_PN	274200	19193382	africa_PN	(AdjCN (PositA west_african_A) (UseN cfa_franc_N))
burundi_PN	gitega_PN	27834	11530580	africa_PN	(AdjCN (PositA burundian_1_A) (UseN franc_N))
cambodia_PN	phnom_penh_PN	181035	16005373	asia_1_PN	(UseN riel_N)
cameroon_2_PN	yaoundé_PN	475442	24053727	africa_PN	(AdjCN (PositA central_african_A) (UseN cfa_franc_N))
canada_PN	ottawa_3_PN	9984670	37894799	north_america_1_PN	(AdjCN (PositA canadian_A) (UseN dollar_1_N))
cape_verde_PN	praia_PN	4033	546388	africa_PN	(AdjCN (PositA cape_verdean_A) (UseN escudo_2_N))
